NAME,CITY,STATE,YEAR,TOT_UNITS,MED_VALUE,MED_RENT,OCCUP_OCCUP,VACANT,OCCUP_TENURE,OCCUP_OWNR,OCCUP_RENTR,BUILT_2020,BUILT_2010,BUILT_2000,BUILT_1990,BUILT_1980,BUILT_1970,BUILT_1960,BUILT_1950,BUILT_1940,BUILT_1939
"El Monte city, California",El Monte city, California,2010,29246,353700.0,1033.0,27780,1466,10676,17104,4.19,329.0,2212.0,2435.0,3907.0,3598.0,5818.0,5860.0,3784.0,1303.0,29246.0
"Escondido city, California",Escondido city, California,2010,46392,330300.0,1157.0,43385,3007,21011,22374,3.02,1234.0,2100.0,6826.0,11866.0,13745.0,6103.0,3095.0,303.0,1120.0,46392.0
"Fairfield city, California",Fairfield city, California,2010,36071,257400.0,1168.0,34404,1667,20600,13804,3.01,2741.0,4095.0,6193.0,7478.0,6901.0,4978.0,2496.0,718.0,471.0,36071.0
"Folsom city, California",Folsom city, California,2010,23331,383900.0,1238.0,22381,950,15350,7031,2.87,2288.0,4655.0,7468.0,4120.0,2176.0,981.0,917.0,58.0,668.0,23331.0
"Fontana city, California",Fontana city, California,2010,53326,245400.0,1039.0,49290,4036,33889,15401,4.04,4454.0,8723.0,10095.0,14063.0,4953.0,3532.0,5192.0,976.0,1338.0,53326.0
"Fremont city, California",Fremont city, California,2010,75324,590000.0,1419.0,71078,4246,46153,24925,3.03,2325.0,1790.0,6972.0,12755.0,29254.0,13385.0,7191.0,470.0,1182.0,75324.0
"Fresno city, California",Fresno city, California,2010,169426,197000.0,837.0,152890,16536,74995,77895,3.12,11804.0,10673.0,23873.0,26655.0,34550.0,19324.0,21535.0,10132.0,10880.0,169426.0
"Fullerton city, California",Fullerton city, California,2010,45702,476500.0,1334.0,42935,2767,23196,19739,3.02,1161.0,2139.0,2731.0,5381.0,10828.0,7347.0,12021.0,1740.0,2354.0,45702.0
"Garden Grove city, California",Garden Grove city, California,2010,48597,398200.0,1276.0,45622,2975,26801,18821,3.64,398.0,714.0,1625.0,5823.0,9060.0,10194.0,17538.0,1741.0,1504.0,48597.0
"Glendale city, California",Glendale city, California,2010,72336,586000.0,1249.0,68191,4145,27020,41171,2.85,771.0,1773.0,3997.0,11963.0,9394.0,9768.0,9094.0,9959.0,15617.0,72336.0
