GEO_ID,NAME,COUNTY,STATE,TOT_HOUSEHOLD,POPULATION,TOT_ENROLLED,PRE_K,KINDER,ELEMENTARY,HIGH_SCHOOL,COLLEGE,COLLEGE_POP
0500000US28073,"Lamar County, Mississippi",Lamar County, Mississippi,24075.0,65484.0,16865.0,5.4,2.9,48.0,20.3,23.4,3946.41
0500000US28075,"Lauderdale County, Mississippi",Lauderdale County, Mississippi,29478.0,68047.0,17981.0,4.6,4.4,47.8,15.2,28.1,5052.661
0500000US28081,"Lee County, Mississippi",Lee County, Mississippi,31064.0,81750.0,20424.0,7.0,2.7,51.0,21.8,17.4,3553.776
0500000US28089,"Madison County, Mississippi",Madison County, Mississippi,43293.0,109588.0,26982.0,5.3,8.8,42.7,28.0,15.2,4101.264
0500000US28121,"Rankin County, Mississippi",Rankin County, Mississippi,58602.0,152690.0,36867.0,5.1,4.7,47.0,21.2,21.9,8073.872999999999
0500000US29019,"Boone County, Missouri",Boone County, Missouri,77339.0,178142.0,63329.0,5.2,4.5,26.3,13.0,51.0,32297.79
0500000US29021,"Buchanan County, Missouri",Buchanan County, Missouri,34353.0,79911.0,17940.0,5.3,3.1,51.2,23.8,16.7,2995.9799999999996
0500000US29031,"Cape Girardeau County, Missouri",Cape Girardeau County, Missouri,33005.0,79124.0,21730.0,3.5,3.8,36.5,19.5,36.6,7953.179999999999
0500000US29037,"Cass County, Missouri",Cass County, Missouri,43143.0,109430.0,22433.0,6.4,5.6,45.0,26.4,16.6,3723.878
0500000US29043,"Christian County, Missouri",Christian County, Missouri,35652.0,92444.0,23256.0,6.7,4.3,52.4,22.2,14.4,3348.8640000000005
0500000US29047,"Clay County, Missouri",Clay County, Missouri,102352.0,253904.0,61750.0,6.2,4.3,44.8,22.3,22.4,13831.999999999998
0500000US29051,"Cole County, Missouri",Cole County, Missouri,30702.0,73365.0,18512.0,5.5,3.9,42.2,26.5,21.9,4054.1279999999997
0500000US29071,"Franklin County, Missouri",Franklin County, Missouri,43809.0,104810.0,22372.0,6.1,7.4,46.4,23.5,16.6,3713.7520000000004
0500000US29077,"Greene County, Missouri",Greene County, Missouri,130986.0,293687.0,72074.0,4.8,4.8,39.1,17.3,34.0,24505.160000000003
0500000US29095,"Jackson County, Missouri",Jackson County, Missouri,309195.0,706628.0,164204.0,5.3,5.8,44.3,22.8,21.8,35796.472
0500000US29097,"Jasper County, Missouri",Jasper County, Missouri,48405.0,121992.0,31523.0,4.0,6.3,42.6,24.3,22.7,7155.721
0500000US29099,"Jefferson County, Missouri",Jefferson County, Missouri,88478.0,227433.0,50057.0,7.0,5.5,43.9,27.4,16.2,8109.234
0500000US29165,"Platte County, Missouri",Platte County, Missouri,43009.0,109401.0,26004.0,7.4,4.4,46.5,20.1,21.7,5642.868
0500000US29183,"St. Charles County, Missouri",St. Charles County, Missouri,163195.0,406917.0,94354.0,7.6,4.7,44.7,22.8,20.2,19059.507999999998
0500000US29187,"St. Francois County, Missouri",St. Francois County, Missouri,24466.0,61449.0,14628.0,9.8,3.1,45.3,25.3,16.5,2413.62
0500000US29189,"St. Louis County, Missouri",St. Louis County, Missouri,413258.0,969362.0,242723.0,8.3,5.3,39.1,21.2,26.1,63350.703
0500000US29510,"St. Louis city, Missouri",St. Louis city, Missouri,148348.0,275693.0,58485.0,5.7,3.9,36.2,19.9,34.3,20060.355
0500000US30013,"Cascade County, Montana",Cascade County, Montana,35343.0,81956.0,18893.0,3.5,6.2,51.5,18.4,20.4,3854.1719999999996
0500000US30029,"Flathead County, Montana",Flathead County, Montana,46044.0,110283.0,20685.0,7.7,2.8,53.5,26.3,9.7,2006.4449999999997
0500000US30031,"Gallatin County, Montana",Gallatin County, Montana,52616.0,120742.0,34308.0,4.1,5.3,30.9,13.9,45.8,15713.063999999998
0500000US30049,"Lewis and Clark County, Montana",Lewis and Clark County, Montana,30541.0,72316.0,16458.0,5.9,9.8,39.7,18.1,26.5,4361.37
0500000US30063,"Missoula County, Montana",Missoula County, Montana,53358.0,117884.0,25846.0,3.6,3.2,37.2,20.7,35.3,9123.637999999999
0500000US30111,"Yellowstone County, Montana",Yellowstone County, Montana,70060.0,166417.0,36218.0,5.8,3.9,47.3,23.6,19.4,7026.2919999999995
0500000US31055,"Douglas County, Nebraska",Douglas County, Nebraska,238829.0,574541.0,153640.0,4.8,6.0,40.3,22.9,26.0,39946.4
0500000US31109,"Lancaster County, Nebraska",Lancaster County, Nebraska,132670.0,311828.0,97651.0,5.5,4.2,33.4,17.7,39.1,38181.541000000005
0500000US31153,"Sarpy County, Nebraska",Sarpy County, Nebraska,75460.0,195467.0,53607.0,6.5,6.1,42.2,22.5,22.7,12168.788999999999
